   6.25000030E-06  0.100577913    
   1.87500009E-05  0.100577913    
   3.12500015E-05  0.100577995    
   4.37500021E-05  0.100578129    
   5.62500027E-05  0.100578308    
   6.87499996E-05  0.100578494    
   8.12500075E-05  0.100578621    
   9.37500008E-05  0.100578636    
   1.06250009E-04  0.100578502    
   1.18750002E-04  0.100578137    
   1.31250010E-04  0.100577481    
   1.43750003E-04  0.100576505    
   1.56250011E-04  0.100575142    
   1.68750019E-04  0.100573368    
   1.81250012E-04  0.100571133    
   1.93750006E-04  0.100568429    
   2.06250013E-04  0.100565232    
   2.18750021E-04  0.100561529    
   2.31250015E-04  0.100557372    
   2.43750008E-04  0.100552723    
   2.56250001E-04  0.100547634    
   2.68750009E-04  0.100542121    
   2.81249988E-04  0.100536242    
   2.93749996E-04  0.100530021    
   3.06250004E-04  0.100523517    
   3.18750012E-04  0.100516796    
   3.31250019E-04  0.100509919    
   3.43749998E-04  0.100502931    
   3.56250006E-04  0.100495912    
   3.68750014E-04  0.100488916    
   3.81249993E-04  0.100482024    
   3.93750001E-04  0.100475311    
   4.06250008E-04  0.100468852    
   4.18750016E-04  0.100462683    
   4.31250024E-04  0.100456901    
   4.43750003E-04  0.100451581    
   4.56250011E-04  0.100446776    
   4.68750019E-04  0.100442566    
   4.81249997E-04  0.100439034    
   4.93750034E-04  0.100436248    
   5.06250013E-04  0.100434281    
   5.18749992E-04  0.100433163    
   5.31250029E-04  0.100432917    
   5.43750008E-04  0.100433551    
   5.56249986E-04  0.100435078    
   5.68750023E-04  0.100437537    
   5.81250002E-04  0.100440934    
   5.93750039E-04  0.100445293    
   6.06250018E-04  0.100450680    
   6.18749997E-04  0.100457110    
   6.31250034E-04  0.100464664    
   6.43750012E-04  0.100473374    
   6.56250049E-04  0.100483306    
   6.68750028E-04  0.100494526    
   6.81250007E-04  0.100507133    
   6.93750044E-04  0.100521162    
   7.06250023E-04  0.100536682    
   7.18750001E-04  0.100553773    
   7.31250038E-04  0.100572489    
   7.43750017E-04  0.100592867    
   7.56249996E-04  0.100614935    
   7.68750033E-04  0.100638695    
   7.81250012E-04  0.100664102    
   7.93750049E-04  0.100691095    
   8.06250027E-04  0.100719571    
   8.18750006E-04  0.100749351    
   8.31250043E-04  0.100780226    
   8.43750022E-04  0.100811891    
   8.56250059E-04  0.100843973    
   8.68750038E-04  0.100876056    
   8.81250016E-04  0.100907639    
   8.93750053E-04  0.100938126    
   9.06250032E-04  0.100966901    
   9.18750011E-04  0.100993305    
   9.31250048E-04  0.101016678    
   9.43750027E-04  0.101036362    
   9.56250005E-04  0.101051733    
   9.68750042E-04  0.101062298    
   9.81250079E-04  0.101067685    
   9.93750058E-04  0.101067685    
